evidence_id,species_id,country_code,jurisdiction_id,relationship_status,regulatory_classification,authority_id,official_species_name,official_group_name,source_id,effective_period,retrieved_at,evidence_note,verification_status,notes
evidence:ca-fed-american-woodcock-2026,species:american-woodcock,CA,jurisdiction:ca-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:ca-eccc,Woodcock,Migratory game birds,source:ca-eccc-mgb-2026-27,2026-2027,2026-09-20,Federal summary provides open-season and limit tables by province/territory,SOURCE_FOUND,Provincial/territorial requirements also apply
evidence:ca-fed-wilsons-snipe-2026,species:wilsons-snipe,CA,jurisdiction:ca-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:ca-eccc,Snipe,Migratory game birds,source:ca-eccc-mgb-2026-27,2026-2027,2026-09-20,Federal summary provides open-season and limit tables by province/territory,SOURCE_FOUND,Provincial/territorial requirements also apply
evidence:ca-fed-mallard-2026,species:mallard,CA,jurisdiction:ca-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:ca-eccc,Mallard,Ducks,source:ca-eccc-mgb-2026-27,2026-2027,2026-09-20,Federal summaries regulate ducks by district and sometimes species-specific limits,SOURCE_FOUND,Does not imply every district is open
evidence:ca-fed-canada-goose-2026,species:canada-goose,CA,jurisdiction:ca-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:ca-eccc,Canada Goose,Geese,source:ca-eccc-mgb-2026-27,2026-2027,2026-09-20,Federal summaries include Canada/Cackling Goose seasons and limits,SOURCE_FOUND,Population and district restrictions apply
evidence:ca-fed-cackling-goose-2026,species:cackling-goose,CA,jurisdiction:ca-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:ca-eccc,Cackling Goose,Geese,source:ca-eccc-mgb-2026-27,2026-2027,2026-09-20,Federal summaries include Canada/Cackling Goose seasons and limits,SOURCE_FOUND,Often grouped with Canada Goose in tables
evidence:ca-fed-snow-goose-2026,species:snow-goose,CA,jurisdiction:ca-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:ca-eccc,Snow Goose,Geese,source:ca-eccc-mgb-2026-27,2026-2027,2026-09-20,Federal summaries include regular and special conservation measures,SOURCE_FOUND,Overabundant-species measures are not ordinary seasons
evidence:ca-fed-rosss-goose-2026,species:rosss-goose,CA,jurisdiction:ca-federal,DOCUMENTED_HUNTING,MIGRATORY_GAME_BIRD,authority:ca-eccc,Ross's Goose,Geese,source:ca-eccc-mgb-2026-27,2026-2027,2026-09-20,Federal summaries include Ross's Goose in specified tables,SOURCE_FOUND,
evidence:ca-fed-sandhill-crane-2026,species:sandhill-crane,CA,jurisdiction:ca-federal,PARTIAL_OR_SPECIAL,MIGRATORY_GAME_BIRD,authority:ca-eccc,Sandhill Crane,Migratory game birds,source:ca-eccc-mgb-2026-27,2026-2027,2026-09-20,Official federal material documents specified seasons including new Ontario/Quebec opportunities,SOURCE_FOUND,Only specified districts/areas and hunter classes
evidence:ca-ab-white-tailed-deer,species:white-tailed-deer,CA,jurisdiction:ca-ab,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-ab-epa,White-tailed Deer,Big game,source:ca-ab-hunting,current_hub,2026-09-20,Official hunting hub publishes species and WMU-specific annual seasons,NEEDS_REVIEW,Extract current guide row before production
evidence:ca-ab-mule-deer,species:mule-deer,CA,jurisdiction:ca-ab,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-ab-epa,Mule Deer,Big game,source:ca-ab-hunting,current_hub,2026-09-20,Official hunting hub publishes species and WMU-specific annual seasons,NEEDS_REVIEW,Extract current guide row before production
evidence:ca-ab-moose,species:moose,CA,jurisdiction:ca-ab,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-ab-epa,Moose,Big game,source:ca-ab-hunting,current_hub,2026-09-20,Official hunting hub includes moose licensing and draw material,NEEDS_REVIEW,WMU and licence class control
evidence:ca-ab-elk,species:elk,CA,jurisdiction:ca-ab,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-ab-epa,Elk,Big game,source:ca-ab-hunting,current_hub,2026-09-20,Official hunting hub publishes elk seasons,NEEDS_REVIEW,Extract current guide row before production
evidence:ca-ab-black-bear,species:american-black-bear,CA,jurisdiction:ca-ab,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-ab-epa,Black Bear,Big game,source:ca-ab-hunting,current_hub,2026-09-20,Official hunting hub publishes black bear seasons,NEEDS_REVIEW,
evidence:ca-ab-bighorn,species:bighorn-sheep,CA,jurisdiction:ca-ab,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-ab-epa,Bighorn Sheep,Big game,source:ca-ab-hunting,current_hub,2026-09-20,Official hunting hub includes sheep seasons/licensing,NEEDS_REVIEW,
evidence:ca-ab-pronghorn,species:pronghorn,CA,jurisdiction:ca-ab,PERMIT_OR_QUOTA,BIG_GAME,authority:ca-ab-epa,Pronghorn Antelope,Big game,source:ca-ab-hunting,current_hub,2026-09-20,Official hunting hub includes pronghorn special licence material,NEEDS_REVIEW,
evidence:ca-bc-white-tailed-deer,species:white-tailed-deer,CA,jurisdiction:ca-bc,DOCUMENTED_HUNTING,BIG_GAME,authority:ca-bc-wlrs,White-tailed Deer,Big game,source:ca-bc-synopsis-2024-26,2024-2026,2026-09-20,Official synopsis names species and MU-specific seasons,STALE,Current 2026-28 synopsis required
